SOURCE,TARGET,TIME,TYPE,WEIGHT,SITE,lock_bool,high_bool,low_bool,ANTENNA,pre_dur,post_dur
J1915,J1915,9711008,SCROUNGE,3,STREAM,1,1,0,B,NA,NA
J793,J793,9711013,SOLO_NO_COOP,15,EDDY,0,0,1,B,NA,NA
J1507,J1915,9711024,COOP_FAIL,4,STREAM,1,0,0,NA,11,NA
J1507,J1915,9711039,COOP_FAIL,12,STREAM,1,0,0,NA,NA,NA
J1507,J1915,9711061,COOP_FAIL,6,STREAM,1,0,0,NA,NA,NA
J1507,J1915,9711108,COOP_FAIL,133,STREAM,1,0,0,NA,NA,NA
J972,J972,9711210,SOLO_NO_COOP,52,EDDY,0,0,1,A,NA,NA
J1507,J1915,9711258,COOP_FAIL,15,STREAM,1,0,0,NA,NA,NA
J1915,J1507,9711275,COOP_FAIL,20,STREAM,1,0,0,NA,NA,NA
J972,J972,9711295,SOLO_NO_COOP,10,EDDY,0,0,1,A,NA,NA
J1915,J1507,9711296,COOP_FAIL,21,STREAM,1,0,0,NA,NA,NA
J1915,J1507,9711322,COOP_FAIL,14,STREAM,1,0,0,NA,NA,1
J972,J972,9711326,SOLO_NO_COOP,16,EDDY,0,0,1,B,NA,NA
J972,J3567,9711333,COOP_SUCCESS,0,EDDY,0,1,0,NA,3,NA
J972,J505,9711335,COOP_SUCCESS,1,EDDY,0,1,0,NA,NA,1
J505,J972,9711352,COOP_SUCCESS,3,EDDY,0,1,0,NA,9,NA
J972,J1529,9711360,COOP_FAIL,2,EDDY,1,1,0,NA,NA,NA
J1352,J1352,9711363,SCROUNGE,5,EDDY,1,1,0,B,NA,NA
J793,J1352,9711363,REPLACEMENT,0,EDDY,1,1,0,NA,NA,NA
J1352,J505,9711370,COOP_FAIL,9,EDDY,1,0,0,NA,3,3
J1507,J1915,9711375,COOP_FAIL,37,STREAM,1,0,0,NA,NA,NA
J793,J1352,9711398,COOP_FAIL,2,EDDY,1,0,0,NA,3,2
J1915,J1507,9711413,COOP_FAIL,3,STREAM,1,0,0,NA,NA,2
J1915,J2402,9711416,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J1507,J2402,9711417,COOP_FAIL,1,STREAM,1,0,0,NA,NA,7
